L001|U001|1733300000000|110010010011010010010010001000000000|1733303600000|110010010011010111000010001000000000
L002|U002|1733310000000|110010010011011111010010001000000000|1733315400000|110010010011100111011010001000000000
L1764805405213|U001|LOGIN|1764805405213|11001101011100110100110010110101000011101
L1764806271666|U001|LOGIN|1764806271666|11001101011100110101001101010001010110010
L1764807024720|U001|LOGIN|1764807024720|11001101011100110101100100010000001010000
L1764807133143|U001|LOGIN|1764807133143|11001101011100110101100111100011111010111
L1764807226297|U002|LOGIN|1764807226297|11001101011100110101101010011001110111001
L1764807239512|U003|LOGIN|1764807239512|11001101011100110101101010110011101011000
L1764808813150|U001|LOGIN|1764808813150|11001101011100110110011010110101001011110
L1764818537480|U001|LOGIN|1764818537480|11001101011100111011000011100110000001000
L1764818618232|U1764818597453|LOGIN|1764818618232|11001101011100111011000110000011101111000
L1764818644388|U1764818597453|LOGIN|1764818644388|11001101011100111011000110110110110100100
L1764828593735|U1764818597453|LOGIN|1764828593735|11001101011100111111110110011111001000111
L1765164915798|U1764818597453|LOGIN|1765164915798|11001101011111100000001110001110001010110
L1765167351491|U004|LOGIN|1765167351491|11001101011111100001011000100011011000011
L1765167762085|U004|LOGIN|1765167762085|11001101011111100001100101000101010100101
L1765170759141|U004|LOGIN|1765170759141|11001101011111100011000000100010111100101
L1765170885996|U004|LOGIN|1765170885996|11001101011111100011000100011010101101100
L1765171472048|U004|LOGIN|1765171472048|11001101011111100011010110010011010110000
L1765171511138|U004|LOGIN|1765171511138|11001101011111100011010111011111101100010
L1765173013640|U004|LOGIN|1765173013640|11001101011111100100000101010110010001000
L1765175165265|U004|LOGIN|1765175165265|11001101011111100101000111000000101010001
L1765175951648|U004|LOGIN|1765175951648|11001101011111100101011111000000100100000
L1765176086147|U004|LOGIN|1765176086147|11001101011111100101100011000111010000011
L1765176331961|U004|LOGIN|1765176331961|11001101011111100101101010100111010111001
L1765176350491|U004|LOGIN|1765176350491|11001101011111100101101011001011100011011
L1765176427771|U1765176409874|LOGIN|1765176427771|11001101011111100101101101100010011111011
L1765177066768|U1765176409874|LOGIN|1765177066768|11001101011111100110000001000010100010000
L1765177621073|U1765176409874|LOGIN|1765177621073|11001101011111100110010001111101001010001
L1765177740461|U1765176409874|LOGIN|1765177740461|11001101011111100110010101100110010101101
L1765177894465|U1765176409874|LOGIN|1765177894465|11001101011111100110011010010011001000001
L1765255216314|U1765176409874|LOGIN|1765255216314|11001101100000001011010001111110010111010
L1765256155648|U004|LOGIN|1765256155648|11001101100000001011101110101001000000000
L1765256238467|U004|LOGIN|1765256238467|11001101100000001011110001001010110000011
L1765258616131|U004|LOGIN|1765258616131|11001101100000001100111001101110101000011
L1765260305849|U004|LOGIN|1765260305849|11001101100000001101101101010010110111001
L1765260381018|U004|LOGIN|1765260381018|11001101100000001101101111100101101011010
L1765260451331|U004|LOGIN|1765260451331|11001101100000001101110001101111000000011
L1765260576537|U004|LOGIN|1765260576537|11001101100000001101110101100011100011001
L1765261641477|U004|LOGIN|1765261641477|11001101100000001110010110000011100000101
L1765261954195|U004|LOGIN|1765261954195|11001101100000001110011111100110010010011
L1765262110935|U004|LOGIN|1765262110935|11001101100000001110100100011000011010111
L1765262310550|U004|LOGIN|1765262310550|11001101100000001110101010011110010010110
L1765334256824|U004|LOGIN|1765334256824|11001101100000110000111110000110010111000
L1765334515481|U004|LOGIN|1765334515481|11001101100000110001000101111111100011001
L1765335498725|U004|LOGIN|1765335498725|11001101100000110001100011111111111100101
L1765336964877|U1765176409874|LOGIN|1765336964877|11001101100000110010010000101111100001101
L1765338054048|U1765176409874|LOGIN|1765338054048|11001101100000110010110001111110110100000
L1765338440053|U004|LOGIN|1765338440053|11001101100000110010111101110000101110101
L1765338536289|U004|LOGIN|1765338536289|11001101100000110011000000101100101100001
L1765423083436|U1765176409874|LOGIN|1765423083436|11001101100001011011010100110111110101100
L1765423167419|U1765176409874|LOGIN|1765423167419|11001101100001011011010111011011110111011
L1765425413397|U1765176409874|LOGIN|1765425413397|11001101100001011100011011111110100010101
L1765426195347|U1765176409874|LOGIN|1765426195347|11001101100001011100110011110101110010011
L1765426842594|U1765176409874|LOGIN|1765426842594|11001101100001011101000111100101111100010
L1765427159458|U1765176409874|LOGIN|1765427159458|11001101100001011101010001010000110100010
L1765427353620|U004|LOGIN|1765427353620|11001101100001011101010111001100000010100
L1765428026348|U004|LOGIN|1765428026348|11001101100001011101101011101101111101100
